"Â ","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Crimes","","","","","","","","","",""
"Violent Crimes","3,400","3,887","4,188","4,444","4,559","4,375","4,832","5,046","4,861","5,804"
"Homicide","30","47","32","28","32","40","31","35","29","26"
"Rape (Forcible Rape prior to 2014)","375","451","571","615","671","566","730","894","568","738"
"Rape","368","444","566","611","668","566","730","888","567","735"
"Attempted Rape","7","7","5","4","3","0","0","6","1","3"
"Robbery","1,140","1,214","1,376","1,593","1,339","1,185","1,284","1,264","1,048","1,347"
"Weapon","","","","","","","","","",""
"Firearm","298","281","381","404","272","272","305","265","167","214"
"Knife or Cutting Instrument","140","158","180","163","172","137","134","112","122","143"
"Other Weapon","104","126","121","144","117","130","125","109","153","179"
"Strong-Arm","598","649","694","882","778","646","720","778","606","811"
"Location","","","","","","","","","",""
"Highway","567","644","678","851","636","562","562","566","358","400"
"Commercial","314","292","338","369","356","257","291","312","313","374"
"Gas Station","21","20","38","36","26","27","25","36","27","33"
"Convenience Store","70","79","137","95","97","127","151","120","79","121"
"Residence","83","96","87","119","122","115","146","151","84","120"
"Bank","14","11","14","12","11","16","25","7","6","13"
"Miscellaneous","71","72","84","111","91","81","84","72","181","286"
"Aggravated Assault","1,855","2,175","2,209","2,208","2,517","2,584","2,787","2,853","3,216","3,693"
"Weapon","","","","","","","","","",""
"Firearm","360","431","507","557","485","618","667","584","449","516"
"Knife or Cutting Instrument","542","602","540","516","583","596","573","658","637","695"
"Other Weapon","747","864","931","886","1,174","1,172","1,312","1,237","1,641","1,746"
"Hands  Fists  Feet","206","278","231","249","275","198","235","374","489","736"
"Property Crimes","25,035","24,749","25,323","25,753","25,164","23,847","22,244","25,363","19,259","24,762"
"Burglary","4,896","4,260","3,926","4,539","4,114","4,045","3,812","3,884","2,959","4,086"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","3,532","3,181","2,925","3,474","3,102","3,077","3,055","3,046","2,244","3,172"
"No Force","1,364","1,079","1,001","1,065","1,012","968","757","838","715","914"
"Location / Time","","","","","","","","","",""
"Residence","3,332","2,635","2,314","2,421","1,998","1,357","1,265","1,224","1,006","1,613"
"Night","634","510","360","439","492","448","404","382","463","729"
"Day","1,594","1,150","1,106","1,120","775","345","390","389","437","884"
"Unknown","1,104","975","848","862","731","564","471","453","106","0"
"Non-Residence","1,564","1,625","1,612","2,118","2,116","2,688","2,547","2,660","1,953","2,473"
"Night","615","650","643","911","985","1,422","1,158","1,308","1,277","1,578"
"Day","232","222","216","250","268","343","357","402","496","895"
"Unknown","717","753","753","957","863","923","1,032","950","180","0"
"Motor Vehicle Theft","7,001","7,703","8,068","7,704","6,126","7,065","6,419","6,469","5,964","6,101"
"Automotive","5,285","5,898","5,714","4,955","3,897","4,698","4,310","3,379","3,879","4,533"
"Trucks and Buses","1,542","1,597","2,066","2,379","1,947","2,075","1,870","2,754","1,811","1,325"
"Other","174","208","288","370","282","292","239","336","274","243"
"Larceny-Theft","13,138","12,786","13,329","13,510","14,924","12,737","12,013","15,010","10,336","14,575"
"Type","","","","","","","","","",""
"Pocket-Picking","152","106","90","87","99","59","44","89","147","228"
"Purse-Snatching","190","108","121","93","82","47","58","86","66","84"
"Shoplifting","2,077","1,860","1,526","1,069","1,132","627","570","1,210","1,973","3,376"
"From Motor Vehicle","5,450","5,136","5,966","6,208","7,223","5,060","4,411","5,395","2,959","3,472"
"Motor Vehicle Accessories","1,504","1,440","1,616","1,581","1,784","2,261","2,546","2,829","1,837","2,357"
"Bicycles","823","999","812","688","631","706","593","586","295","277"
"From Building","811","862","729","874","884","914","844","1,168","921","1,444"
"Coin Operated Machine","26","14","7","10","16","14","14","13","12","5"
"Other","2,105","2,261","2,462","2,900","3,073","3,049","2,933","3,634","2,126","3,332"
"Value","","","","","","","","","",""
"Over $400","5,708","5,726","6,325","6,355","7,682","5,800","null","null","null","null"
"Over $200","0","0","0","0","0","0","7,395","9,649","6,313","8,394"
"$200 through $400","1,938","1,845","1,754","1,683","1,779","1,558","null","null","null","null"
"$50 through $199","2,149","1,916","1,898","1,852","1,772","1,589","1,266","1,587","1,219","2,168"
"Under $50","3,343","3,299","3,352","3,620","3,691","3,790","3,352","3,774","2,804","4,013"
"Arson","93","137","173","121","135","252","269","176","151","146"
"Structural Property","41","74","79","49","64","108","108","69","57","30"
"Mobile Property","29","32","35","32","29","38","56","49","34","30"
"Other Property","23","31","59","40","42","106","105","58","60","86"